,id,duration_ms,key,liveness,mode,explicit
345,40gk32E7YaTFoQwDIWv2SY,135693,2,0.438,1,True
346,7lrMkztvl0MnRSB2i3KRRe,158484,11,0.113,0,False
347,7MlDNspYwfqnHxORufupwq,196784,4,0.524,0,False
348,3BnDvpeuGOj21Ir2aVEtQo,219669,11,0.137,1,False
349,0NO2zL0kw8sGGnaMvHKAZF,237474,1,0.0749,1,True
350,0Sfn2TYbpQtCGMBf6C0Y6T,237525,7,0.109,0,False
351,7CJJ7JC3kj9XdweWTvfVhX,130403,7,0.0615,1,True
352,7w7BrPbOjF5OxChs2dxFve,172118,1,0.0699,1,False
353,3CIyK1V4JEJkg02E4EJnDl,173381,11,0.434,0,False
354,73vIOb4Q7YN6HeJTbscRx5,206000,6,0.146,0,True
355,7FET9gtiECWn7llt0sfvtU,209500,11,0.373,0,False
356,0EgLxY52mpGsXETyEsgVlP,264473,0,0.0619,0,False
357,7jvwORp293fGCP6KfmE8aQ,200357,8,0.323,1,True
358,4taclmQm9wFcK4dKQjR5ny,153675,9,0.275,0,False
359,0O6u0VJ46W86TxN9wgyqDj,192841,5,0.121,1,True
360,3qXZqXGniqNt3PK2CBSZgM,240000,10,0.11,0,True
361,0gucTLf7trAf37Ua1uAyAu,300893,1,0.0908,1,False
362,38UYeBLfvpnDSG9GznZdnL,193464,0,0.378,1,True
363,0pwnoUhy57HdGjj1zNzzNV,306656,1,0.288,1,False
364,0a4MMyCrzT0En247IhqZbD,179027,4,0.286,0,False
365,44FzVABpR2cciquTqADA0D,159307,7,0.13,1,True
366,2YXswOX5aKv6OHRKUcAMLQ,163523,8,0.0943,0,False
367,04CqLjewJiSAqM210vZAmT,162973,9,0.189,1,False
368,1N8TTK1Uoy7UvQNUazfUt5,147875,8,0.111,1,True
369,6KXKcH4QO1MiGrMQOGoADP,122070,11,0.156,0,True
370,31i56LZnwE6uSu3exoHjtB,173119,10,0.143,1,False
371,3zkyus0njMCL6phZmNNEeN,175890,2,0.213,0,True
372,22sAwsBH0NoNJXnrBenQuO,120461,1,0.105,1,True
